"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"451","03/31/2018","market","MAS CONVENIENCE AND DELI","","8793","PARSONS BLVD","","JAMAICA",11432,"7182971956","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80236712,40.70700976
"453","03/31/2018","market","LIBERATO GROCERY INC.","LIBERATO FOOD MARKET","359","AUDUBON AVE","","NEW YORK",10033,"2129231112","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93135173,40.85006912
"455","03/31/2018","market","LITTLE FLOWER SHOPPE, INC.","MINT CLEANERS","6648","80TH ST","","MIDDLE VILLAGE",11379,"7183269146","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87180915,40.7147275
"460","03/31/2018","market","MOMMY'S JAMAICAN MARKET CORP.","","3508","WHITE PLAINS RD","","BRONX",10467,"718-881-7007","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.86631314,40.87766769
"461","03/31/2018","market","MOISHES FRUIT & GROCERY CENTER, INC.","LAUNDRY DE POINT","4807","16TH AVE","","BROOKLYN",11204,"718-438-6835","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98503418,40.63148574
"471","03/31/2018","market","AI YING WU","LI XING FLORIST","137A","HESTER ST","","NEW YORK",10002,"2123432225","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9945709,40.717022
"473","03/31/2018","market","ABE'S FRUITS INC.","","4315","15TH AVE","","BROOKLYN",11219,"7184385707","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9843559,40.63558087
"479","03/31/2018","market","WAI WAH MARKET INC.","Universe Wireless, Inc.","17","CATHERINE ST","","NEW YORK",10038,"6467084802","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99719723,40.71313552
"490","03/31/2016","market","G & K FOOD CORP.","","3399","BROADWAY","","NEW YORK",10031,"2124919312","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95374922,40.82192778
"492","03/31/2018","market","KINGS BRIDGE MARKET INC","","30","W KINGSBRIDGE RD","","BRONX",10468,"9179654515","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89880439,40.86772928
"494","03/31/2018","market","SOY BEAN CHAN FLOWER GIFT INC.","","13526","ROOSEVELT AVE","","FLUSHING",11354,"7183213982","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.83130991,40.75914859
"507","03/31/2018","market","GUIAS Y ANGELES CORP.","","928","4TH AVE","","BROOKLYN",11232,"347-227-8031","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00358601,40.655122
"514","03/31/2018","market","EAST NEW YORK FRUITS & VEGETABLES II LLC","","330","NEW LOTS AVE","","BROOKLYN",11207,"347-462-9059","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89450773,40.66120278
"515","03/31/2018","market","GOURMET GUILD LLC","","110","BROADWAY","","BROOKLYN",11249,"718-388-7726","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.96475947,40.71039088
"516","03/31/2018","market","79 DELI & GROCERY STORE CORP","","3771","79TH ST","","JACKSON HEIGHTS",11372,"3474346422","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88702041,40.74908858
"521","03/31/2018","market","LEE'S FARMERS MARKET INC","","1045","EASTERN PKWY","","BROOKLYN",11213,"718-221-1500","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.9333766,40.66893096
"530","03/31/2018","market","276 EAST FRUIT & GROCERY STORE CORPORATION","El Caballo Cigar and Hookah Shop","276","E 198TH ST","","BRONX",10458,"7187337500","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88874051,40.86880691
"531","03/31/2018","market","NEW YORK DELI & SMOKE ZONE INC","","7920","ROOSEVELT AVE","","JACKSON HEIGHTS",11372,"9292572049","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88644228,40.74736431
"535","03/31/2018","market","JESSICA'S ENTERPRISE INC","","4056","JUNCTION BLVD","","CORONA",11368,"7186878587","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86876756,40.74805093
"542","03/31/2018","market","FISH & SHRIMP RESTAURANT SPOT CORP","","2089","AMSTERDAM AVE","","NEW YORK",10032,"6462969785","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93911352,40.83684125
"552","03/31/2018","market","FBM SALES CORP.","Candy Man","4702","13TH AVE","","BROOKLYN",11219,"7188251013","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99106097,40.63605918
"553","03/31/2018","market","LA PEQUENA FARM CORP.","CACIO & PEPE","10819","ROOSEVELT AVE","","CORONA",11368,"3478064116","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85831336,40.75086015
"557","03/31/2018","market","VL DELIGHTS LLC","BEL AMI","30","E 68TH ST","","NEW YORK",10065,"2127371313","Manhattan","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96708585,40.76912102
"563","03/31/2018","market","ZHONG MEI (USA) TRADING INC.","","13519","ROOSEVELT AVE","","FLUSHING",11354,"7188868908","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.83142186,40.75912954
"567","03/31/2018","market","LEON, GUADALUPE","EL PAISANO #2 FRUITS AND VEGETABLES","1111","WARD AVE","","BRONX",10472,"??????????","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-77.51958437,40.11238534
"569","03/31/2018","market","BAKERY & MINI MARKET EL POPO, INC","","8828","ROOSEVELT AVE","","JACKSON HEIGHTS",11372,"7185074542","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.87787282,40.74826405
"577","03/31/2018","market","LIME TREE MARKET, INC.","","400","E 9TH ST","","NEW YORK",10009,"2129950479","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98453264,40.72803032
"580","03/31/2018","market","INTERNATIONAL RETAIL WHOLESALE FOOD MARKET CORP","","706","LYDIG AVE","","BRONX",10462,"7183452240","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86736104,40.85448717
"586","03/31/2018","market","ALFONSO'S DELI & GROCERY INC.","","2236","GRAND CONCOURSE","","BRONX",10457,"7185623796","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 6, 5.01 to 10 foot stands: 0",-73.90064016,40.85625528
"589","03/31/2018","market","FLORES, NARCISO","LOS AMIGOS FLOWERS","719","9TH AVE","","NEW YORK",10019,"3475581415","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98948089,40.76277117
"591","03/31/2018","market","KCY 957 BROADWAY INC","MR KIWI","957","BROADWAY","","BROOKLYN",11221,"9176998095","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93491386,40.69681599
"593","03/31/2018","market","DELI EL BIGOTE CORP.","","3","E 31ST ST","","BROOKLYN",11226,"7186025295","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94854885,40.65054048
"595","03/31/2018","market","BAO LONG TRADING INC","FRONTIER FLOOR SANDING","275","CANAL ST","","NEW YORK",10013,"347-905-6010","Manhattan","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00146464,40.71911088
"596","03/31/2018","market","WEBSTER AVE GOURMET DELI CORP","","375","E 188TH ST","","BRONX",10458,"718-388-8968","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89352716,40.86003663
"600","03/31/2018","market","AYUBE, MOHAMED","M&A Convenience Store","18232","HILLSIDE AVE","","JAMAICA",11432,"7183645070","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.77954625,40.71367104
"606","03/31/2018","market","380 LENOX MEAT CORP.","PIONEER SUPERMARKET","380","LENOX AVE","","NEW YORK",10027,"2124274615","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 3, 5.01 to 10 foot stands: 0",-73.94357018,40.81037895
"610","03/31/2018","market","A.M. DELI, JUICE BAR, FOOD, INC.","RIDGEWOOD ANDYS DELI","308","E 116TH ST","","NEW YORK",10029,"6468610322","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.93723597,40.79676732
"613","03/31/2018","market","RUN FENG TRADING INC.","","123","MOTT ST","","NEW YORK",10013,"9175197521","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99696976,40.71810078
"622","03/31/2018","market","MI MEXICO MINI MARKET & GROCERY INC.","","1528","WESTCHESTER AVE","","BRONX",10472,"7183284013","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87877324,40.82860887
"623","03/31/2018","market","CALIFORNIA DELI GROCERY CORP.","","4126","54TH ST","","WOODSIDE",11377,"9174006827","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91051769,40.74493996
"628","03/31/2018","market","GREENLAND TROPICAL DELI & GROCERY INC","","1737","DR MARTIN L KING JR BLVD","","BRONX",10453,"6468374985","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91633697,40.84986708
"638","03/31/2018","market","J & D FARM MARKET CORP.","","21620","HILLSIDE AVE","","QUEENS VLG",11427,"7187762700","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.74818269,40.72770385
"648","03/31/2018","market","SALAT MEAT & GROCERY CORP.","","7543","METROPOLITAN AVE","","MIDDLE VILLAGE",11379,"7183267323","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87583429,40.71309055
"669","03/31/2018","market","J&B COLUMBUS PRODUCE CORP.","236 COLUMBUS FARM","236","COLUMBUS AVE","","NEW YORK",10023,"2125795973","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97939069,40.77659506
"671","03/31/2018","market","CONTENTO FOOD CENTER INC.","45 ST NICHOLAS GROCERY STORE","1999","UNIVERSITY AVE","","BRONX",10453,"212-749-7048","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91139665,40.85469133
"672","03/31/2018","market","BAUTISTA, ISIDORO","CLINTON DELI & GROCERY","72","CLINTON ST","","NEW YORK",10002,"212-254-0916","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98497118,40.71925264
"677","03/31/2018","market","EMPORIUM FRESH MARKET INC.","","409","5TH AVE","","BROOKLYN",11215,"347-381-3220","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98547971,40.6701488
"678","03/31/2018","market","GLATT MART INC.","","1205","AVENUE M","","BROOKLYN",11230,"7183384040","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 13, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9626472,40.61769905
"680","03/31/2018","market","HAVEMEYER DELI STOP ONE. INC","BON APPETIT","45","HAVEMEYER ST","","BROOKLYN",11211,"347-987-3020","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95394583,40.7153441
"687","03/31/2018","market","GREEN CORNER NY LLC","GREEN CORNER FISH & FARMERS MARKET","5","HUMBOLDT ST","","BROOKLYN",11206,"9177979706","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94047074,40.70129571
"703","03/31/2018","market","CHANG CHEN GROCERY INC.","AT&T MOBILITY","31","CATHERINE ST","","NEW YORK",10038,"2129259400","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99703855,40.71250147
"710","03/31/2018","market","SUNSHINE FOOD MARKET INC.","","135","MOTT ST","","NEW YORK",10013,"917-392-9870","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99676772,40.71844936
"712","03/31/2018","market","HIGHLAWN GRILL DELI INC.","","196","HIGHLAWN AVE","","BROOKLYN",11223,"7186764141","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97861224,40.60349058
"718","03/31/2018","market","DKJJ DELI FOOD CORP.","","1584","DR MARTIN L KING JR BLVD","","BRONX",10453,"718-676-0819","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.92072514,40.8467769
"728","03/31/2018","market","GREEN FOOD SUPERMARKET INC","","8504","20TH AVE","","BROOKLYN",11214,"718-266-8886","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.99774917,40.60510924
"731","03/31/2018","market","THE NATURAL PARADISE, INC.","","2611","BROADWAY","","NEW YORK",10025,"2126780054","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97059018,40.79630582
"734","03/31/2018","market","ZUDY 59 CORP","","59","LAFAYETTE AVE","","BROOKLYN",11217,"9179724578","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9759929,40.68705502
"740","03/31/2018","market","DREAM FARM, INC.","","1424","NOSTRAND AVE","","BROOKLYN",11226,"7188260061","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 3, 5.01 to 10 foot stands: 0",-73.94966525,40.65156204
"741","03/31/2018","market","JIN'S BIG APPLE FRUIT MARKET, INC.","WILLIS MARION HOME IMPROVEMENT","6007","ROOSEVELT AVE","","WOODSIDE",11377,"7187794281","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.90424824,40.74550582
"744","03/31/2018","market","MAZEL-TOV FLEA MARKET INC","","10002","ROOSEVELT AVE","","CORONA",11368,"9179222392","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86540443,40.74958136
"752","03/31/2018","market","FONG & ZHOU SUPERMARKET INC","","8514","18TH AVE","","BROOKLYN",11214,"718-872-7022","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 0, 5.01 to 10 foot stands: 5",-74.00212847,40.60768386
"766","03/31/2018","market","AKSHAR 41 INC","FRESH MART","4038","UNION ST","","FLUSHING",11354,"7184457501","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82615391,40.75968439
"768","03/31/2018","market","58 BURNSIDE FOOD CORP.","","58","W BURNSIDE AVE","","BRONX",10453,"9999999999","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90976707,40.85416308
"777","03/31/2018","market","ASTORIA BLVD DELI GROCERY INC.","","3802","ASTORIA BLVD","","ASTORIA",11103,"7187288106","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91177784,40.76897667
"778","03/31/2018","market","BD CRAFTS, HOME & GARDEN INC","Crafts Decor","7711","37TH AVE","","JACKSON HEIGHTS",11372,"6317641717","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88876688,40.7492879
"780","03/31/2018","market","MC PLACE, INC.","SUNAC","4","W 18TH ST","","NEW YORK",10011,"212-242-0204","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99233184,40.73872192
"783","03/31/2018","market","PLEASANT PLAINS PRODUCE INC.","CITI  FLOWERS, FRUITS & VEGETABLES","6378","AMBOY RD","","STATEN ISLAND",10309,"7189672112","Staten Island","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.21679728,40.52218705
"785","03/31/2018","market","LEE, UI DUK","STAR CITY FRUIT & VEGETABLES","676","ALLERTON AVE","","BRONX",10467,"7188815634","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86815997,40.86540377
"793","03/31/2018","market","FIVE BROTHERS SEAFOOD MARKET INC.","HEARTLAND CELANERS","5803","8TH AVE","","BROOKLYN",11220,"718-686-6661","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.0084635,40.63653955
"797","03/31/2018","market","TOP LINE MEAT MARKET INC","","8137","BROADWAY","","ELMHURST",11373,"7184585505","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88302139,40.74299124
